Number,Date,Location,Infected,Recovered
1,30.1.20,Kerala,1,0
2,31.1.20,Kerala,1,0
3,1.2.20,Kerala,2,0
4,2.2.20,Kerala,3,0
5,3.2.20,Kerala,3,0
6,4.2.20,Kerala,3,0
7,5.2.20,Kerala,3,0
8,6.2.20,Kerala,3,0
9,7.2.20,Kerala,3,0
10,8.2.20,Kerala,3,0
11,9.2.20,Kerala,3,0
12,10.2.20,Kerala,3,0
13,11.2.20,Kerala,3,0
14,12.2.20,Kerala,3,0
15,13.2.20,Kerala,3,0
16,14.2.20,Kerala,3,0
17,15.2.20,Kerala,3,0
18,16.2.20,Kerala,3,0
19,17.2.20,Kerala,3,0
20,18.2.20,Kerala,3,0
21,19.2.20,Kerala,3,0
22,20.2.20,Kerala,3,0
23,21.2.20,Kerala,3,0
24,22.2.20,Kerala,3,0
25,23.2.20,Kerala,3,0
26,24.2.20,Kerala,3,0
27,25.2.20,Kerala,3,0
28,26.2.20,Kerala,3,0
29,27.2.20,Kerala,3,0
30,28.2.20,Kerala,3,0
31,29.2.20,Kerala,3,0
32,1.3.20,Kerala,3,0
33,2.3.20,Telengana,1,0
34,2.3.20,Kerala,3,0
35,2.3.20,Delhi,1,0
36,3.3.20,Telengana,1,0
37,3.3.20,Rajasthan,1,0
38,3.3.20,Kerala,3,3
39,3.3.20,Delhi,1,0
40,4.3.20,Uttar Pradesh,6,0
41,4.3.20,Kerala,3,3
42,4.3.20,Haryana,2,0
43,4.3.20,Delhi,1,0
44,4.3.20,Telengana,1,0
45,4.3.20,Rajasthan,15,0
46,5.3.20,Delhi,2,0
47,5.3.20,Haryana,2,0
48,5.3.20,Kerala,3,3
49,5.3.20,Rajasthan,15,0
50,5.3.20,Telengana,1,0
51,5.3.20,Uttar Pradesh,7,0
52,6.3.20,Delhi,3,0
53,6.3.20,Haryana,2,0
54,6.3.20,Kerala,3,3
55,6.3.20,Rajasthan,15,0
56,6.3.20,Uttar Pradesh,7,0
57,6.3.20,Telengana,1,0
58,7.3.20,Kerala,3,3
59,7.3.20,Uttar Pradesh,7,0
60,7.3.20,Ladakh,2,0
61,7.3.20,Telengana,1,0
62,7.3.20,Tamil Nadu,1,0
63,7.3.20,Delhi,3,0
64,7.3.20,Haryana,2,0
65,7.3.20,Rajasthan,15,0
66,8.3.20,Ladakh,2,0
67,8.3.20,Telengana,1,0
68,8.3.20,Tamil Nadu,1,0
69,8.3.20,Rajasthan,15,0
70,8.3.20,Kerala,8,3
71,8.3.20,Haryana,2,0
72,8.3.20,Delhi,3,0
73,8.3.20,Uttar Pradesh,7,0
74,9.3.20,Ladakh,2,0
75,9.3.20,Karnataka,1,0
76,9.3.20,Kerala,9,3
77,9.3.20,Maharashtra,2,0
78,9.3.20,Punjab,1,0
79,9.3.20,Rajasthan,15,0
80,9.3.20,Tamil Nadu,1,0
81,9.3.20,Telengana,1,0
82,9.3.20,Jammu and Kashmir,1,0
83,9.3.20,Uttar Pradesh,7,0
84,9.3.20,Haryana,2,0
85,9.3.20,Delhi,4,0
86,10.3.20,Uttar Pradesh,7,0
87,10.3.20,Ladakh,2,0
88,10.3.20,Delhi,4,0
89,10.3.20,Haryana,2,0
90,10.3.20,Karnataka,4,0
91,10.3.20,Kerala,15,3
92,10.3.20,Maharashtra,5,0
93,10.3.20,Punjab,1,0
94,10.3.20,Rajasthan,15,0
95,10.3.20,Tamil Nadu,1,0
96,10.3.20,Telengana,1,0
97,10.3.20,Jammu and Kashmir,1,0
98,11.3.20,Maharashtra,2,0
99,11.3.20,Delhi,5,0
100,11.3.20,Haryana,14,0
101,11.3.20,Kerala,17,3
102,11.3.20,Rajasthan,3,0
103,11.3.20,Telengana,1,0
104,11.3.20,Uttar Pradesh,9,0
105,11.3.20,Ladakh,2,0
106,11.3.20,Tamil Nadu,1,0
107,11.3.20,Jammu and Kashmir,1,0
108,11.3.20,Punjab,1,0
109,11.3.20,Karnataka,4,0
110,12.3.20,Delhi,6,0
111,12.3.20,Haryana,14,0
112,12.3.20,Kerala,17,3
113,12.3.20,Rajasthan,3,0
114,12.3.20,Telengana,1,0
115,12.3.20,Uttar Pradesh,11,0
116,12.3.20,Ladakh,3,0
117,12.3.20,Tamil Nadu,1,0
118,12.3.20,Jammu and Kashmir,1,0
119,12.3.20,Punjab,1,0
120,12.3.20,Karnataka,4,0
121,12.3.20,Maharashtra,11,0
122,12.3.20,Andhra Pradesh,1,0
123,13.3.20,Delhi,6,0
124,13.3.20,Haryana,14,0
125,13.3.20,Kerala,19,3
126,13.3.20,Rajasthan,3,0
127,13.3.20,Telengana,1,0
128,13.3.20,Uttar Pradesh,11,0
129,13.3.20,Ladakh,3,0
130,13.3.20,Tamil Nadu,1,0
131,13.3.20,Jammu and Kashmir,1,0
132,13.3.20,Punjab,1,0
133,13.3.20,Karnataka,6,1
134,13.3.20,Maharashtra,14,0
135,13.3.20,Andhra Pradesh,1,0
136,14.3.20,Delhi,7,2
137,14.3.20,Haryana,14,0
138,14.3.20,Kerala,19,3
139,14.3.20,Rajasthan,3,1
140,14.3.20,Telengana,1,0
141,14.3.20,Uttar Pradesh,12,5
142,14.3.20,Ladakh,3,0
143,14.3.20,Tamil Nadu,1,0
144,14.3.20,Jammu and Kashmir,2,0
145,14.3.20,Punjab,1,0
146,14.3.20,Karnataka,6,1
147,14.3.20,Maharashtra,14,0
148,14.3.20,Andhra Pradesh,1,0
149,15.3.20,Andhra Pradesh,1,0
150,15.3.20,Delhi,7,3
151,15.3.20,Haryana,14,0
152,15.3.20,Karnataka,6,1
153,15.3.20,Kerala,22,3
154,15.3.20,Maharashtra,32,0
155,15.3.20,Punjab,1,0
156,15.3.20,Rajasthan,4,3
157,15.3.20,Tamil Nadu,1,0
158,15.3.20,Telengana,3,1
159,15.3.20,Jammu and Kashmir,2,0
160,15.3.20,Ladakh,3,0
161,15.3.20,Uttar Pradesh,13,4
162,15.3.20,Uttarakhand,1,0
163,16.3.20,Andhra Pradesh,1,0
164,16.3.20,Delhi,7,3
165,16.3.20,Haryana,14,0
166,16.3.20,Karnataka,6,1
167,16.3.20,Kerala,23,3
168,16.3.20,Maharashtra,32,0
169,16.3.20,Odisha,1,0
170,16.3.20,Punjab,1,0
171,16.3.20,Rajasthan,4,3
172,16.3.20,Tamil Nadu,1,0
173,16.3.20,Telengana,3,1
174,16.3.20,Jammu and Kashmir,3,0
175,16.3.20,Ladakh,4,0
176,16.3.20,Uttar Pradesh,13,4
177,16.3.20,Uttarakhand,1,0
178,17.3.20,Andhra Pradesh,1,0
179,17.3.20,Delhi,8,3
180,17.3.20,Haryana,15,0
181,17.3.20,Karnataka,11,1
182,17.3.20,Kerala,26,3
183,17.3.20,Maharashtra,39,1
184,17.3.20,Odisha,1,0
185,17.3.20,Punjab,1,0
186,17.3.20,Rajasthan,4,3
187,17.3.20,Tamil Nadu,1,0
188,17.3.20,Telengana,5,1
189,17.3.20,Jammu and Kashmir,3,0
190,17.3.20,Ladakh,6,0
191,17.3.20,Uttar Pradesh,15,5
192,17.3.20,Uttarakhand,1,0
193,18.3.20,Andhra Pradesh,1,0
194,18.3.20,Delhi,10,3
195,18.3.20,Haryana,17,0
196,18.3.20,Karnataka,11,1
197,18.3.20,Kerala,27,3
198,18.3.20,Maharashtra,42,1
199,18.3.20,Odisha,1,0
200,18.3.20,Puducherry,1,0
201,18.3.20,Punjab,1,0
202,18.3.20,Rajasthan,4,3
203,18.3.20,Tamil Nadu,1,0
204,18.3.20,Telengana,6,1
205,18.3.20,Jammu and Kashmir,3,0
206,18.3.20,Ladakh,8,0
207,18.3.20,Uttar Pradesh,16,5
208,18.3.20,Uttarakhand,1,0
209,18.3.20,West Bengal,1,0
210,19.3.20,Andhra Pradesh,2,0
211,19.3.20,Chhattisgarh,1,0
212,19.3.20,Delhi,12,4
213,19.3.20,Haryana,17,0
214,19.3.20,Karnataka,14,1
215,19.3.20,Kerala,27,3
216,19.3.20,Maharashtra,47,1
217,19.3.20,Odisha,1,0
218,19.3.20,Puducherry,1,0
219,19.3.20,Punjab,2,1
220,19.3.20,Rajasthan,7,3
221,19.3.20,Tamil Nadu,2,1
222,19.3.20,Telengana,6,1
223,19.3.20,Chandigarh,1,0
224,19.3.20,Jammu and Kashmir,4,0
225,19.3.20,Ladakh,8,0
226,19.3.20,Uttar Pradesh,19,9
227,19.3.20,Uttarakhand,1,0
228,19.3.20,West Bengal,1,0
229,20.3.20,Andhra Pradesh,3,0
230,20.3.20,Chhattisgarh,1,0
231,20.3.20,Delhi,17,6
232,20.3.20,Gujarat,5,0
233,20.3.20,Haryana,17,0
234,20.3.20,Karnataka,15,2
235,20.3.20,Kerala,28,3
236,20.3.20,Maharashtra,52,1
237,20.3.20,Odisha,2,0
238,20.3.20,Puducherry,1,0
239,20.3.20,Punjab,2,1
240,20.3.20,Rajasthan,17,3
241,20.3.20,Tamil Nadu,3,1
242,20.3.20,Telengana,17,1
243,20.3.20,Chandigarh,1,0
244,20.3.20,Jammu and Kashmir,4,0
245,20.3.20,Ladakh,10,0
246,20.3.20,Uttar Pradesh,23,9
247,20.3.20,Uttarakhand,3,0
248,20.3.20,West Bengal,2,0
249,21.3.20,Andhra Pradesh,3,0
250,21.3.20,Chhattisgarh,1,0
251,21.3.20,Delhi,26,6
252,21.3.20,Gujarat,7,0
253,21.3.20,Haryana,17,0
254,21.3.20,Himachal Pradesh,2,0
255,21.3.20,Karnataka,15,2
256,21.3.20,Kerala,40,3
257,21.3.20,Madhya Pradesh,4,0
258,21.3.20,Maharashtra,63,1
259,21.3.20,Odisha,2,0
260,21.3.20,Puducherry,1,0
261,21.3.20,Punjab,13,1
262,21.3.20,Rajasthan,17,3
263,21.3.20,Tamil Nadu,3,1
264,21.3.20,Telengana,21,1
265,21.3.20,Chandigarh,1,0
266,21.3.20,Jammu and Kashmir,4,0
267,21.3.20,Ladakh,13,0
268,21.3.20,Uttar Pradesh,24,9
269,21.3.20,Uttarakhand,3,0
270,21.3.20,West Bengal,3,0
271,22.3.20,Andhra Pradesh,5,0
272,22.3.20,Bihar,2,1
273,22.3.20,Chhattisgarh,1,0
274,22.3.20,Delhi,29,6
275,22.3.20,Gujarat,18,1
276,22.3.20,Haryana,21,0
277,22.3.20,Himachal Pradesh,2,0
278,22.3.20,Karnataka,26,3
279,22.3.20,Kerala,52,3
280,22.3.20,Madhya Pradesh,4,0
281,22.3.20,Maharashtra,67,2
282,22.3.20,Odisha,2,0
283,22.3.20,Puducherry,1,0
284,22.3.20,Punjab,21,1
285,22.3.20,Rajasthan,24,3
286,22.3.20,Tamil Nadu,7,1
287,22.3.20,Telengana,22,1
288,22.3.20,Chandigarh,5,0
289,22.3.20,Jammu and Kashmir,4,0
290,22.3.20,Ladakh,13,0
291,22.3.20,Uttar Pradesh,27,9
292,22.3.20,Uttarakhand,3,0
293,22.3.20,West Bengal,4,0
294,23.3.20,Andhra Pradesh,7,0
295,23.3.20,Bihar,2,1
296,23.3.20,Chhattisgarh,1,0
297,23.3.20,Delhi,29,6
298,23.3.20,Gujarat,29,1
299,23.3.20,Haryana,26,0
300,23.3.20,Himachal Pradesh,2,0
301,23.3.20,Karnataka,33,3
302,23.3.20,Kerala,67,3
303,23.3.20,Madhya Pradesh,6,0
304,23.3.20,Maharashtra,74,2
305,23.3.20,Odisha,2,0
306,23.3.20,Puducherry,1,0
307,23.3.20,Punjab,21,1
308,23.3.20,Rajasthan,28,3
309,23.3.20,Tamil Nadu,9,1
310,23.3.20,Telengana,32,1
311,23.3.20,Chandigarh,6,0
312,23.3.20,Jammu and Kashmir,4,0
313,23.3.20,Ladakh,13,0
314,23.3.20,Uttar Pradesh,31,9
315,23.3.20,Uttarakhand,3,0
316,23.3.20,West Bengal,7,0
317,24.3.20,Andhra Pradesh,8,0
318,24.3.20,Bihar,3,1
319,24.3.20,Chhattisgarh,1,0
320,24.3.20,Delhi,30,7
321,24.3.20,Gujarat,33,1
322,24.3.20,Haryana,28,11
323,24.3.20,Himachal Pradesh,3,1
324,24.3.20,Karnataka,37,4
325,24.3.20,Kerala,95,4
326,24.3.20,Madhya Pradesh,7,0
327,24.3.20,Maharashtra,89,2
328,24.3.20,Manipur,1,0
329,24.3.20,Odisha,2,0
330,24.3.20,Puducherry,1,0
331,24.3.20,Punjab,29,1
332,24.3.20,Rajasthan,32,3
333,24.3.20,Tamil Nadu,15,1
334,24.3.20,Telengana,35,1
335,24.3.20,Chandigarh,7,0
336,24.3.20,Jammu and Kashmir,4,0
337,24.3.20,Ladakh,13,0
338,24.3.20,Uttar Pradesh,33,11
339,24.3.20,Uttarakhand,4,0
340,24.3.20,West Bengal,9,1
341,25.3.20,Andhra Pradesh,9,1
342,25.3.20,Bihar,4,1
343,25.3.20,Chhattisgarh,1,0
344,25.3.20,Delhi,31,7
345,25.3.20,Gujarat,38,1
346,25.3.20,Haryana,28,11
347,25.3.20,Himachal Pradesh,3,1
348,25.3.20,Karnataka,41,4
349,25.3.20,Kerala,109,4
350,25.3.20,Madhya Pradesh,14,0
351,25.3.20,Maharashtra,128,4
352,25.3.20,Manipur,1,0
353,25.3.20,Mizoram,1,0
354,25.3.20,Odisha,2,0
355,25.3.20,Puducherry,1,0
356,25.3.20,Punjab,29,1
357,25.3.20,Rajasthan,36,3
358,25.3.20,Tamil Nadu,18,1
359,25.3.20,Telengana,35,1
360,25.3.20,Chandigarh,7,0
361,25.3.20,Jammu and Kashmir,7,1
362,25.3.20,Ladakh,13,0
363,25.3.20,Uttar Pradesh,37,11
364,25.3.20,Uttarakhand,4,0
365,25.3.20,West Bengal,9,1
366,26.3.20,Andaman and Nicobar Islands,1,0
367,26.3.20,Andhra Pradesh,11,1
368,26.3.20,Bihar,6,1
369,26.3.20,Chandigarh,7,0
370,26.3.20,Chhattisgarh,6,0
371,26.3.20,Delhi,36,7
372,26.3.20,Goa,3,0
373,26.3.20,Gujarat,43,3
374,26.3.20,Haryana,30,11
375,26.3.20,Himachal Pradesh,3,1
376,26.3.20,Jammu and Kashmir,13,1
377,26.3.20,Karnataka,55,5
378,26.3.20,Kerala,118,6
379,26.3.20,Ladakh,13,0
380,26.3.20,Madhya Pradesh,20,1
381,26.3.20,Maharashtra,124,4
382,26.3.20,Manipur,1,0
383,26.3.20,Mizoram,1,0
384,26.3.20,Odisha,2,0
385,26.3.20,Puducherry,1,0
386,26.3.20,Punjab,33,1
387,26.3.20,Rajasthan,41,3
388,26.3.20,Tamil Nadu,26,2
389,26.3.20,Telengana,44,1
390,26.3.20,Uttarakhand,5,0
391,26.3.20,Uttar Pradesh,41,11
392,26.3.20,West Bengal,10,1
393,27.3.20,Andaman and Nicobar Islands,1,0
394,27.3.20,Andhra Pradesh,12,1
395,27.3.20,Bihar,6,1
396,27.3.20,Chandigarh,7,0
397,27.3.20,Chhattisgarh,6,0
398,27.3.20,Delhi,36,7
399,27.3.20,Goa,3,0
400,27.3.20,Gujarat,43,3
401,27.3.20,Haryana,30,11
402,27.3.20,Himachal Pradesh,3,1
403,27.3.20,Jammu and Kashmir,13,2
404,27.3.20,Karnataka,55,5
405,27.3.20,Kerala,137,11
406,27.3.20,Ladakh,13,3
407,27.3.20,Madhya Pradesh,20,1
408,27.3.20,Maharashtra,130,19
409,27.3.20,Manipur,1,0
410,27.3.20,Mizoram,1,0
411,27.3.20,Odisha,2,0
412,27.3.20,Puducherry,1,0
413,27.3.20,Punjab,33,1
414,27.3.20,Rajasthan,41,3
415,27.3.20,Tamil Nadu,29,2
416,27.3.20,Telengana,45,1
417,27.3.20,Uttarakhand,5,0
418,27.3.20,Uttar Pradesh,41,11
419,27.3.20,West Bengal,10,1
420,28.3.20,Andhra Pradesh,14,1
421,28.3.20,Andaman and Nicobar Islands,6,0
422,28.3.20,Bihar,9,1
423,28.3.20,Chandigarh,8,0
424,28.3.20,Chhattisgarh,6,0
425,28.3.20,Delhi,39,7
426,28.3.20,Goa,3,0
427,28.3.20,Gujarat,45,3
428,28.3.20,Haryana,33,12
429,28.3.20,Himachal Pradesh,3,1
430,28.3.20,Jammu and Kashmir,20,2
431,28.3.20,Karnataka,55,5
432,28.3.20,Kerala,176,11
433,28.3.20,Ladakh,13,3
434,28.3.20,Madhya Pradesh,30,2
435,28.3.20,Maharashtra,180,30
436,28.3.20,Manipur,1,0
437,28.3.20,Mizoram,1,0
438,28.3.20,Odisha,3,0
439,28.3.20,Puducherry,1,0
440,28.3.20,Punjab,38,2
441,28.3.20,Rajasthan,54,3
442,28.3.20,Tamil Nadu,40,3
443,28.3.20,Telengana,56,1
444,28.3.20,Uttarakhand,5,0
445,28.3.20,Uttar Pradesh,55,11
446,28.3.20,West Bengal,15,1
447,29.3.20,Andhra Pradesh,19,1
448,29.3.20,Andaman and Nicobar Islands,9,0
449,29.3.20,Bihar,11,1
450,29.3.20,Chandigarh,8,0
451,29.3.20,Chhattisgarh,7,0
452,29.3.20,Delhi,49,8
453,29.3.20,Goa,5,0
454,29.3.20,Gujarat,58,6
455,29.3.20,Haryana,33,17
456,29.3.20,Himachal Pradesh,3,1
457,29.3.20,Jammu and Kashmir,31,3
458,29.3.20,Karnataka,76,8
459,29.3.20,Kerala,182,16
460,29.3.20,Ladakh,13,3
461,29.3.20,Madhya Pradesh,30,2
462,29.3.20,Maharashtra,186,31
463,29.3.20,Manipur,1,0
464,29.3.20,Mizoram,1,0
465,29.3.20,Odisha,3,0
466,29.3.20,Puducherry,1,0
467,29.3.20,Punjab,38,2
468,29.3.20,Rajasthan,55,3
469,29.3.20,Tamil Nadu,49,5
470,29.3.20,Telengana,66,2
471,29.3.20,Uttarakhand,7,2
472,29.3.20,Uttar Pradesh,65,11
473,29.3.20,West Bengal,18,1
474,30.3.20,Andhra Pradesh,23,1
475,30.3.20,Andaman and Nicobar Islands,9,0
476,30.3.20,Bihar,15,1
477,30.3.20,Chandigarh,8,0
478,30.3.20,Chhattisgarh,7,0
479,30.3.20,Delhi,87,8
480,30.3.20,Goa,5,0
481,30.3.20,Gujarat,69,7
482,30.3.20,Haryana,36,18
483,30.3.20,Himachal Pradesh,3,1
484,30.3.20,Jammu and Kashmir,48,4
485,30.3.20,Karnataka,83,8
486,30.3.20,Kerala,202,20
487,30.3.20,Ladakh,13,3
488,30.3.20,Madhya Pradesh,47,3
489,30.3.20,Maharashtra,198,33
490,30.3.20,Manipur,1,0
491,30.3.20,Mizoram,1,0
492,30.3.20,Odisha,3,0
493,30.3.20,Puducherry,1,0
494,30.3.20,Punjab,38,2
495,30.3.20,Rajasthan,59,3
496,30.3.20,Tamil Nadu,67,5
497,30.3.20,Telengana,71,2
498,30.3.20,Uttarakhand,7,2
499,30.3.20,Uttar Pradesh,82,11
500,30.3.20,West Bengal,22,1
501,30.3.20,Unassigned,46,0
502,31.3.20,Andhra Pradesh,40,1
503,31.3.20,Andaman and Nicobar Islands,10,0
504,31.3.20,Bihar,15,1
505,31.3.20,Chandigarh,13,0
506,31.3.20,Chhattisgarh,8,0
507,31.3.20,Delhi,97,8
508,31.3.20,Goa,5,0
509,31.3.20,Gujarat,73,9
510,31.3.20,Haryana,40,21
511,31.3.20,Himachal Pradesh,3,1
512,31.3.20,Jammu and Kashmir,54,4
513,31.3.20,Karnataka,83,8
514,31.3.20,Kerala,234,20
515,31.3.20,Ladakh,13,3
516,31.3.20,Madhya Pradesh,47,3
517,31.3.20,Maharashtra,216,48
518,31.3.20,Manipur,1,0
519,31.3.20,Mizoram,1,0
520,31.3.20,Odisha,3,0
521,31.3.20,Puducherry,1,0
522,31.3.20,Punjab,41,4
523,31.3.20,Rajasthan,74,3
524,31.3.20,Tamil Nadu,74,5
525,31.3.20,Telengana,79,2
526,31.3.20,Uttarakhand,7,2
527,31.3.20,Uttar Pradesh,101,14
528,31.3.20,West Bengal,26,2
529,31.3.20,Unassigned,38,0
530,1.4.20,Andhra Pradesh,83,1
531,1.4.20,Andaman and Nicobar Islands,10,0
532,1.4.20,Assam,1,0
533,1.4.20,Bihar,23,1
534,1.4.20,Chandigarh,16,0
535,1.4.20,Chhattisgarh,9,2
536,1.4.20,Delhi,152,8
537,1.4.20,Goa,5,0
538,1.4.20,Gujarat,82,11
539,1.4.20,Haryana,43,21
540,1.4.20,Himachal Pradesh,3,1
541,1.4.20,Jammu and Kashmir,62,4
542,1.4.20,Jharkhand,1,0
543,1.4.20,Karnataka,101,11
544,1.4.20,Kerala,241,25
545,1.4.20,Ladakh,13,3
546,1.4.20,Madhya Pradesh,66,3
547,1.4.20,Maharashtra,302,48
548,1.4.20,Manipur,1,0
549,1.4.20,Mizoram,1,0
550,1.4.20,Odisha,4,0
551,1.4.20,Puducherry,3,1
552,1.4.20,Punjab,42,4
553,1.4.20,Rajasthan,93,3
554,1.4.20,Tamil Nadu,234,7
555,1.4.20,Telengana,96,4
556,1.4.20,Uttarakhand,7,2
557,1.4.20,Uttar Pradesh,103,16
558,1.4.20,West Bengal,37,9
559,2.4.20,Andhra Pradesh,86,2
560,2.4.20,Andaman and Nicobar Islands,10,0
561,2.4.20,Assam,5,0
562,2.4.20,Bihar,24,1
563,2.4.20,Chandigarh,16,0
564,2.4.20,Chhattisgarh,9,2
565,2.4.20,Delhi,219,12
566,2.4.20,Goa,5,0
567,2.4.20,Gujarat,87,15
568,2.4.20,Haryana,43,21
569,2.4.20,Himachal Pradesh,3,2
570,2.4.20,Jammu and Kashmir,62,4
571,2.4.20,Jharkhand,1,0
572,2.4.20,Karnataka,110,12
573,2.4.20,Kerala,265,27
574,2.4.20,Ladakh,13,3
575,2.4.20,Madhya Pradesh,99,6
576,2.4.20,Maharashtra,335,55
577,2.4.20,Manipur,1,0
578,2.4.20,Mizoram,1,0
579,2.4.20,Odisha,4,0
580,2.4.20,Puducherry,3,1
581,2.4.20,Punjab,46,5
582,2.4.20,Rajasthan,108,3
583,2.4.20,Tamil Nadu,234,7
584,2.4.20,Telengana,107,4
585,2.4.20,Uttarakhand,7,2
586,2.4.20,Uttar Pradesh,113,16
587,2.4.20,West Bengal,53,9
588,3.4.20,Andhra Pradesh,132,2
589,3.4.20,Andaman and Nicobar Islands,10,0
590,3.4.20,Arunachal Pradesh,1,0
591,3.4.20,Assam,16,0
592,3.4.20,Bihar,29,1
593,3.4.20,Chandigarh,18,0
594,3.4.20,Chhattisgarh,9,3
595,3.4.20,Delhi,219,12
596,3.4.20,Goa,6,0
597,3.4.20,Gujarat,95,18
598,3.4.20,Haryana,49,24
599,3.4.20,Himachal Pradesh,6,2
600,3.4.20,Jammu and Kashmir,75,5
601,3.4.20,Jharkhand,2,0
602,3.4.20,Karnataka,124,13
603,3.4.20,Kerala,286,29
604,3.4.20,Ladakh,14,3
605,3.4.20,Madhya Pradesh,104,6
606,3.4.20,Maharashtra,335,58
607,3.4.20,Manipur,2,0
608,3.4.20,Mizoram,1,0
609,3.4.20,Odisha,5,0
610,3.4.20,Puducherry,5,1
611,3.4.20,Punjab,48,6
612,3.4.20,Rajasthan,167,3
613,3.4.20,Tamil Nadu,309,7
614,3.4.20,Telengana,158,8
615,3.4.20,Uttarakhand,10,2
616,3.4.20,Uttar Pradesh,172,16
617,3.4.20,West Bengal,63,6
618,3.4.20,Unassigned,77,0
619,4.4.20,Andhra Pradesh,161,2
620,4.4.20,Andaman and Nicobar Islands,10,0
621,4.4.20,Arunachal Pradesh,1,0
622,4.4.20,Assam,24,0
623,4.4.20,Bihar,30,1
624,4.4.20,Chandigarh,18,0
625,4.4.20,Chhattisgarh,9,3
626,4.4.20,Delhi,445,21
627,4.4.20,Goa,7,0
628,4.4.20,Gujarat,105,24
629,4.4.20,Haryana,49,24
630,4.4.20,Himachal Pradesh,6,2
631,4.4.20,Jammu and Kashmir,75,5
632,4.4.20,Jharkhand,2,0
633,4.4.20,Karnataka,128,15
634,4.4.20,Kerala,295,43
635,4.4.20,Ladakh,14,3
636,4.4.20,Madhya Pradesh,104,6
637,4.4.20,Maharashtra,490,66
638,4.4.20,Manipur,2,0
639,4.4.20,Mizoram,1,0
640,4.4.20,Odisha,5,0
641,4.4.20,Puducherry,5,1
642,4.4.20,Punjab,57,6
643,4.4.20,Rajasthan,200,21
644,4.4.20,Tamil Nadu,411,8
645,4.4.20,Telengana,159,8
646,4.4.20,Uttarakhand,16,2
647,4.4.20,Uttar Pradesh,174,21
648,4.4.20,West Bengal,69,6
649,5.4.20,Andhra Pradesh,190,2
650,5.4.20,Andaman and Nicobar Islands,10,0
651,5.4.20,Arunachal Pradesh,1,0
652,5.4.20,Assam,26,0
653,5.4.20,Bihar,30,1
654,5.4.20,Chandigarh,18,0
655,5.4.20,Chhattisgarh,9,3
656,5.4.20,Delhi,503,25
657,5.4.20,Goa,7,0
658,5.4.20,Gujarat,122,29
659,5.4.20,Haryana,59,26
660,5.4.20,Himachal Pradesh,6,2
661,5.4.20,Jammu and Kashmir,106,6
662,5.4.20,Jharkhand,3,0
663,5.4.20,Karnataka,144,16
664,5.4.20,Kerala,306,51
665,5.4.20,Ladakh,14,10
666,5.4.20,Madhya Pradesh,165,9
667,5.4.20,Maharashtra,490,66
668,5.4.20,Manipur,2,0
669,5.4.20,Mizoram,1,0
670,5.4.20,Odisha,20,0
671,5.4.20,Puducherry,5,1
672,5.4.20,Punjab,57,6
673,5.4.20,Rajasthan,200,21
674,5.4.20,Tamil Nadu,485,9
675,5.4.20,Telengana,269,39
676,5.4.20,Uttarakhand,22,2
677,5.4.20,Uttar Pradesh,227,21
678,5.4.20,West Bengal,80,13
679,6.4.20,Andhra Pradesh,226,4
680,6.4.20,Andaman and Nicobar Islands,10,0
681,6.4.20,Arunachal Pradesh,1,0
682,6.4.20,Assam,26,0
683,6.4.20,Bihar,32,1
684,6.4.20,Chandigarh,18,0
685,6.4.20,Chhattisgarh,10,8
686,6.4.20,Delhi,523,26
687,6.4.20,Goa,7,0
688,6.4.20,Gujarat,144,34
689,6.4.20,Haryana,84,26
690,6.4.20,Himachal Pradesh,13,3
691,6.4.20,Jammu and Kashmir,109,6
692,6.4.20,Jharkhand,4,0
693,6.4.20,Karnataka,151,16
694,6.4.20,Kerala,314,57
695,6.4.20,Ladakh,14,10
696,6.4.20,Madhya Pradesh,165,9
697,6.4.20,Maharashtra,748,101
698,6.4.20,Manipur,2,0
699,6.4.20,Mizoram,1,0
700,6.4.20,Odisha,21,2
701,6.4.20,Puducherry,5,1
702,6.4.20,Punjab,76,10
703,6.4.20,Rajasthan,274,21
704,6.4.20,Tamil Nadu,571,13
705,6.4.20,Telengana,321,41
706,6.4.20,Uttarakhand,26,4
707,6.4.20,Uttar Pradesh,305,24
708,6.4.20,West Bengal,80,13
709,7.4.20,Andhra Pradesh,266,4
710,7.4.20,Andaman and Nicobar Islands,10,0
711,7.4.20,Arunachal Pradesh,1,0
712,7.4.20,Assam,26,0
713,7.4.20,Bihar,32,1
714,7.4.20,Chandigarh,18,7
715,7.4.20,Chhattisgarh,10,9
716,7.4.20,Delhi,576,28
717,7.4.20,Goa,7,0
718,7.4.20,Gujarat,165,38
719,7.4.20,Haryana,90,26
720,7.4.20,Himachal Pradesh,13,3
721,7.4.20,Jammu and Kashmir,116,6
722,7.4.20,Jharkhand,4,0
723,7.4.20,Karnataka,175,29
724,7.4.20,Kerala,327,60
725,7.4.20,Ladakh,14,10
726,7.4.20,Madhya Pradesh,229,13
727,7.4.20,Maharashtra,868,104
728,7.4.20,Manipur,2,0
729,7.4.20,Mizoram,1,0
730,7.4.20,Odisha,42,3
731,7.4.20,Puducherry,5,1
732,7.4.20,Punjab,91,11
733,7.4.20,Rajasthan,288,24
734,7.4.20,Tamil Nadu,621,13
735,7.4.20,Telengana,364,42
736,7.4.20,Tripura,1,0
737,7.4.20,Uttarakhand,31,5
738,7.4.20,Uttar Pradesh,305,24
739,7.4.20,West Bengal,91,16
